vedette	inversée	étymologie avec grec
pyronomie	eimonoryp	de πϋρ, feu, et νόμος, règle
pyrophlyctide	editcylhporyp	de πυρ, feu, et φλυκτίς, vésicule
pyrophore	erohporyp	de πϋρ, feu, et φέρω, je porte
pyrophosphate	etahpsohporyp	de πϋρ, feu, et phosphate
pyrophytique	euqityhporyp	de πϋρ, feu, et φυτός, produit
pyropuncture	erutcnuporyp	de πϋρ, feu, et puncture (Dubreuil)
pyroscope	epocsoryp	de πϋρ, feu, et σκοπέϊν, examiner
pyrosis	sisoryp	de πυρόω, brûler
pyrotechnie	einhcetoryp	de πϋρ, gén. πυράς, feu, et τέχνη, art
pyrothonibe	ebinohtoryp	de πϋρ, feu, et οθόνιον, linge, chiffon
pyrotique	euqitoryp	de πυρόω, je brûle, dérivé de πϋρ, feu
pyroxyle	elyxoryp	de πϋρ, feu, et ίύλον, bois 
pyrrhétine	enitéhrryp	de πϋρ, feu, et ρητίνη, résine 
pyrrhole	elohrryp	de πυρρός. rouge, et o/eum ou έλαιο?, huile; pyrrholeum
pyulque	euqluyp	de πύον, pus, et ελκει?, tirer, extraire
pyurie	eiruyp	demcv, pus, et ούρεϊ?, uriner
pyxide	edixyp	de πυξίδιο?, petite boîte
quinologie	eigoloniuq	formé de kina, et de λόγος, discours
rachialgie	eiglaihcar	de ράχις, épine du dos, et άλγος, douleur 
rachisagbe	ebgasihcar	déport?, l’épine du dos, et άγρα, proie;
rachitisme	emsitihcar	de ράχις, épine du dos; νοσος ραχΐτις;
rachitome	emotihcar	de ράχις, rachis, et τέρ.νειν, couper
raphanédon	nodénahpar	de ράφανος, navet : -en manière de navet
raphé	éhpar	de ράπτειν,coudre 
raphide	edihpar	de ραφίς, aiguille
récidive	evidicér	de recidivus, qui recommence; morbi rxversio, υποστροφή
réfrigérant	tnarégirfér	rafrai- •cliissant, de.la particule re, et frigus, froid; ψυκτικός
résinoïde	edïonisér	de résine, et ειίος, forme
rétinoscope	epocsonitér	de rétine, et σκοπεΐν, examiner
rhabdoïde	edïodbahr	de ράβδος, verge, et εϊίος, forme, ressemblance
rhacose	esocahr	de ράκος, guenille
rhagade	edagahr	de ραγάς, rupture
rhagoïde	edïogahr	de ράς, grain de raisin, et forme
rhapontic	citnopahr	de pà, nom d’une plante à racine médicinale, chez les anciens, et ποντικός, qui vient du Pont- Euxin : ainsi nommée pour être distinguée d’une racine apportée postérieurement par les barbares des contrées sauvages de l’Asie, qui fut nommée Rha barbarum, puis rhubarbe ;aR.pontischer Rhabarber,an^l.ponticrhubarb
rhegmate	etamgehr	de ρήγμα, rupture
rhéomètre	ertèmoéhr	de ρεϊν, couler, et μετρον, mesure : mesure de courant
rhéophore	erohpoéhr	de ρεϊν, couler, βίφέρειν, porter : porte-courant
rhéoscopique	euqipocsoéhr	de ρεϊν, couler, courant, et σκοπεί?, examiner
rhéostat	tatsoéhr	de ρεϊν, couler, courant, et στάτχς, qui arrête
rhéotrope	eportoéhr	de ρεΐν, couler, courant, et τρε'πειν, tourner; commutateur, disjoncteur, tachytrope et gyrotropé
rhigosolène	enèlosogihr	de ρίγος, frisson
rhinalgie	eiglanihr	de ptv, nez, et άλγος, douleur
rhinencéphale	elahpécnenihr	de ptv, nez, et εγκέφαλος, encéphale
rhinenchyte	etyhcnenihr	de ptv, nez, et έγχυτον, injection
rhinobyon	noybonihr	de plv, nez, et βύειν, boucher
rhinolithe	ehtilonihr	de ptv, nez, et λίθος,-pierre
rhinonécrosie	eisorcénonihr	de ptv, nez, et νέκρωσις, nécrose
rhinophonie	einohponihr	de ptv, nez, et φωνή, voix
rhinoplastie	eitsalponihr	de ptv, nez, et πλάσσειν, former
rhinoptie	eitponihr	de ptv, nez, et ό'πτοααι, je vois
rhinorrhagie	eigahrronihr	de ptv, nez, et ρηγνύει, je romps
rhinorrhaphie	eihpahrronihr	de ptv, nez, et ραφή, couture
rhinorrhée	eéhrronihr	de ptv, nez, et ρεΐν, couler
rhinoscopie	eipocsonihr	de ptv, nez, et σκοπεϊν, examiner
rhizagre	ergazihr	de ρίζα, racine, et de άγρα, prise, capture
rhizoblaste	etsalbozihr	de ρίζα, racine, et βλαστός, germe
rhizocarpées	seépracozihr	de ρίζα, racine, et καρπός, fruit
rhizocarpien	neipracozihr	de όίζα, racine, et καρπός, fruit:
rhizocarpique	euqipracozihr	de ρίζα, racine, et καρπός, fruit
rhizologie	eigolozihr	de ρίζα, racine, et λόγος, traité
rhizome	emozihr	de ρίζα, racine
rhizomorphe	ehpromozihr	de ρίζα, racine, et μορφή, forme
rhizophorées	seérohpozihr	de ρίζα, racine, et φέρειν, porter
rhizophyse	esyhpozihr	de ρίζα, racine, et φύσις, production
rhizopode	edopozihr	de ρίζα, racine, et ποϋς, pied
rhizosarque	euqrasozihr	de ρίζα, racine, et σαρξ, σαρκός, chair
rhomboïde	edïobmohr	de ρόμβος, rhombe,et εί^ος, forme
rhonchus	suhcnohr	de ρέγχω, sterto, je ronfle
rhotacisme	emsicatohr	de ρώ, nom de la lettre p en grec
rhumapyre	erypamuhr	mot hybride fait de rhume, et πυρ, feu
rhumatalgie	eiglatamuhr	mot hybride fait de rhumatisme, et άλγος, douleur ;
rhumatisme	emsitamuhr	de ρεϋυ.α, fluxion
rhumatoïde	edïotamuhr	mot hybride fait de rhumatisme, avec είίος, forme
rhume	emuhr	de ρεϋμα, écoulement, dérivé de ρέω, je coule
rhyas	sayhr	de ρέω, je coule
rhyptique	euqitpyhr	de ρύπτειν, nettoyer
rhytidome	emodityhr	de ρυτίδωαα, peau ridée
rhytidosis	sisodityhr	de ρυτίίωσις, froncement
rupia	aipur	de ρύπος, ordure 
saccharimètre	ertèmirahccas	de σάκχαρον, sucre, et psvpcv, mesure
saccharimétrie	eirtémirahccas	de σάκχαρον, sucre, et g.ivpcv, mesure
saccharorrhée	eéhrrorahccas	de σάκχαρον, sucre, et ρεΐν, couler
sacro-coxalgie	eiglaxoc-orcas	de sacrum, l’os sacrum, coxa, l’os coxal, et άλγος, douleur
sacrum	murcas	de sacer, sacré; τδ ίερον baziw
salicaire	eriacilas	de λύτρο·*, sang, parce qu’on lui attribuait des vertus anti-hémorrhagiques 
salpingo-malléen	neéllam-ogniplas	de σάλπιγξ, σάλπιγγος, trompe, et malleus, marteau
saphène	enèhpas	de σαφής, manifeste, évident
saponine	eninopas	de στρούθιο^ saponaire
sapropyre	eryporpas	de σαπρος, putride, et πϋρ, fièvre
saprostome	emotsorpas	de σαπρδς, putride, et στόμα, bouche
sarcépiplocèle	elècolpipécras	de σαρξ, chair, et épiplocèle
sarceux	xuecras	de σαρξ, chair ; mauvais mot hybride fait du grec avec le suffixe latin osus
sarcidie	eidicras	dimin de σαρξ, chair, caroncule
sarcite	eticras	de σαρξ, chair
sarcobase	esabocras	de σαρξ, chair, είβάσις, base
sarcocarpe	epracocras	de σαρξ, chair, et καρπός, fruit
sarcocèle	elècocras	de σαρξ, chair, et κήλη, tumeur
sarcocolle	ellococras	de σαρξ, chair, et κολλά, colle
sarcode	edocras	de σαρκώδης,charnu
sarcoderme	emredocras	de σαρξ, chair, et ί'έρο.α, peau
sarco-épiplocèle	elècolpipé-ocras	de σαρξ, chair, έπίπλοον, épiploon, et κτίλτ,, tumeur
sarco-épiplomphale	elahpmolpipé-ocras	de σαρξ, chair, έπίπλοον, l’épiploon, et οαφαλος, le nombril 
sarco-hydrocèle	elècordyh-ocras	de σαρξ, chair, ύίωρ, eau, et κηλτι, tumeur 
sarcoïde	edïocras	de σαρξ, chair, et ει^ος, forme
sarcolemme	emmelocras	de σαρξ, chair, et λέρψ.α, pelure
sarcologie	eigolocras	de σαρξ, chair, et λογος, discours 
sarcome	emocras	de σαρξ, chair 
sarcomphale	elahpmocras	de σαρξ, chair, et ορ.φαλος, le nombril
sarcophage	egahpocras	de σαρξ, chair, et φαγεϊν, manger
sarcophagie	eigahpocras	de σαρξ, chair, et φαγεϊν, manger
sarcophylle	ellyhpocras	de σαρξ, chair, et φύλλου, feuille
sarcopte	etpocras	de σϊοξ, chair, et κοπτε», couper
sarcopyode	edoypocras	de σαρξ, chair, et πϋον, pus
sarcostose	esotsocras	de σαρξ, chair, et οστέον, os
sarcotique	euqitocras	de σαρξ chair;
sarcotripsie	eispirtocras	de σαρξ, chair, et τρίψις, broiement
sarcotripteur	ruetpirtocras	de σαρξ, chair, et τρίπτης, broyeur
satyriasis	sisairytas	de σάτυpoi, les satyres, qui, selon la Fable, étaient fort lubri ques
scalène	enèlacs	de σκαληνός, boiteux
scaphoïde	edïohpacs	de σκάφη, nacelle, et εΐίος, forme, ressemblance
scapularthrocace	ecacorhtralupacs	de scapulæ, épaules, άρβρον, articulation, et κακός, mauvais;
scapulodynie	einydolupacs	de scapulæ, épaules, et οίύνη, douleur
scarificateur	ruetacifiracs	de scarificare, en grec σκαριφεύεω, inciser;
scélodydime	emidydolécs	de σκέλος, membre inférieure, et ό’ίί'υμος, double
scélotyrbe	ebrytolécs	de σκέλος, jambe, et τύρβη, trouble, désordre
schéma	améhcs	de σχήμα, forme, plan
schindylèse	esèlydnihcs	de σχινό'ολεϊν, diviser 
schistosome	emosotsihcs	de σχιστός, fendu, ouvert, et σώμα, corps
schizocéphale	elahpécozihcs	de σχίζειν, séparer, et κεφαλή, tête ; fissiceps
schizothorax	xarohtozihcs	de σχίζειν, séparer, et θώραξ, poitrine
schizotrichie	eihcirtozihcs	de σχίζεw, séparer, et 6ριξ, τριχος, cheveu
sciatique	euqitaics	de ισχίον, hanche
sciomachie	eihcamoics	σκΐΰμαχ.ία, ou σκιαμαχία de σκιά, ombre, et μάχ,η, combat
scirrhocèle	elècohrrics	de σκίρρος, squirrhe, et de κήλη, hernie, tumeur
scirrhophthalmie	eimlahthpohrrics	de σκίρρος, dureté, et Ophthalmie;
scirrhose	esohrrics	de σκίρρος, dur
scléranthe	ehtnarélcs	de σκληρός, dur, et άνθος, fleur
sclérectasie	eisatcerélcs	de sclérotique, et εκτασις, distension
sclérectomie	eimotcerélcs	de σκληρός, dur, . et ε’κτομη, excision
sclérème	emèrélcs	de σκληρός, dur
sclérenchyme	emyhcnerélcs	de σκληρός, dur, et έγχυμα, parenchyme
scléreux	xuerélcs	de σκληρές, dur
sclériase	esairélcs	de σκληρός, dur 
sclérogène	enègorélcs	de σκληρός, dur, et γένναν, engendrer
sclérogénie	einégorélcs	de σκληρός, dur, et γένναν, engendrer
sclérophthalmie	eimlahthporélcs	de σκληρός, dur, èt οφθαλμός, œil
sclérosarcome	emocrasorélcs	de σκληρός, dur, et σάρκωμα, sarcome 
sclérose	esorélcs	de σκληρός, dur
sclérosténose	esonétsorélcs	de σκληρός, dur, et στενός, étroit
sclérostome	emotsorélcs	de σκληρός, dur, et στο'μα, bouche
scléroticectomie	eimotcecitorélcs	de sclérotique, et έκτομη, excision;
scléroticonyxis	sixynocitorélcs	de sclérotique, et νύσσειν, percer
scléroticotomie	eimotocitorélcs	de sclérotique, et τομή, section, incision
sclérotique	euqitorélcs	de σκληρός, dur
sclérysme	emsyrélcs	de σκληρός, dur
scoléciasis	sisaicélocs	de σκώληξ, ver
scoliose	esoilocs	de σκολώς, tortueux, sinueux
scolopomachérion	noiréhcamopolocs	de σκόλοψ, instrument long et pointu, et de μαχαίριον, petit couteau
scolopsie	eispolocs	de σκόλοψ, pieu
scorie	eirocs	de σκωρία, écume, crasse 
scorpioïde	edïoiprocs	de σκορπίος, scorpion, et ει^ος, forme
scotodinie	einidotocs	de σκότος, ténèbres, et ίϊνος, vertige
scotome	emotocs	de σκότος, ténèbres
scrofule	eluforcs	truie; χοιράίες de χοίρος, pourceau
scrotocele	elecotorcs	de scrotum, le scrotum, et κήλη, hernie, tumeur
scyphistome	emotsihpycs	de σκύφας, coupe, et στόμα, bouche
sébolithe	ehtilobés	de sebum, et λίθος, pierre
séborrhagie	eigahrrobés	de sebum ou στε'αρ, graisse, et ρεϊν, couler; fluxus sebaceus
séline	enilés	de σελτίνχ, la lune
sémiologie	eigoloimés	de [grc???] signe, et λογ?ς, doctrine
sémiotique	euqitoimés	de σ-οαειωτιζη (sous-entendu, τέχνη), Tart des signes 
sémiotique	euqitoimés	Sémiotique, et non séméiotique, Γει grec se rendant par un z’
sepsine	enispes	de σίψις, putréfaction, ou στ,πτος, putréfié
septicémie	eimécitpes	de septique, et αζαα, sang
septique	euqitpes	de σηπειν, corrompre
septomètre	ertèmotpes	de σηπτός, putride, et μέτρον, mesure
serpigo	ogipres	de serpere, ramper; ερπης
sésamoïde	edïomasés	άβστίσαμον, sésame, et εϊίος, forme, ressemblance;
siagonagre	erganogais	de σιαγών, mâchoire, etde άγρα, proie
sialadénite	etinédalais	de σίαλον, salive, et àAw, glande
sialagogue	eugogalais	de σίαλον, salive, et άγειν, chasser
sialoïne	enïolais	de σίαλον, salive
sialolithe	ehtilolais	de σίαλον, salive, et λίθος, pierre
sialologie	eigololais	de σίαλον, salive, et λόγος, discours, traité
sialorrhée	eéhrrolais	de σίαλον, salive, et ρεϊν, couleur
sicyédon	nodéycis	de σίκυος, concombre
sidérose	esorédis	de σίίγφος, fer
sigmoïdal	ladïomgis	de 2 (sigma), lettre majuscule des Grecs, et ειίο;, forme;
sinapisme	emsipanis	de σινάπι, moutarde 
sindon	nodnis	de σινιών, drap, linge
singultueux	xueutlugnis	de singultus, sanglot; λυγγώίης
siphon	nohpis	de σίφων, tuyau
siphonie	einohpis	de σίφων, tube
siphonoma	amonohpis	de σίφων, tube
siriase	esairis	de σείριος, brûlant
sitiologie	eigoloitis	de σιτίον, aliment, et λογος, discours
sitiophobie	eibohpoitis	de a.riov, aliment, et φόβος, crainte ; σίτος est plus particulièrement le blé et les aliments faits avec les céréales
sociologie	eigoloicos	de societas, et κόγς, traité;
solen	nelos	de σωλχν, canal, tuyau
somascétique	euqitécsamos	de σώμα, corps, et άσκεΐν, exercer
somatique	euqitamos	de σώμα, corps
somatologie	eigolotamos	de σώμα, corps, et λο’γος, discours 
somatoscopie	eipocsotamos	de σώμα, corps, et βχσπε», examiner
sorose	esoros	de σωρός, tas
spagirie	eirigaps	de σπάει?, séparer, et άγείρειν, rassembler
spanopogon	nogoponaps	de σπανός, rare, et de πώγων, barbe
spargose	esograps	de σπαργάω, je gonfle
spasmologie	eigolomsaps	de σπασμός, spasme, et λόγος, discours
spathe	ehtaps	de σπάθη, épée et spatule
spectrométrie	eirtémortceps	de spectre, et μέτρο?, mesure ;
spectroscope	epocsortceps	de spectre, et σκοπεί?, examiner
spermatisme	emsitamreps	de σπέρμα, semence
spermatocele	elecotamreps	de σπέρμα, sperme, et κήλη, tumeur
spermatologie	eigolotamreps	de σπέρμα, sperme, et λογος, traité, discours
spermatopé	épotamreps	de σπέρμα, sperme, etwoteïv, faire
spermatophore	erohpotamreps	de σπέρμα, sperme, et φερος, qui porte
spermatorrhée	eéhrrotamreps	de σπέρμα, σπέρματος, sperme, et ρειν, couler
spermatozoaire	eriaozotamreps	de σπέρμα, sperme, ζώεν, animal, et είδος, forme
sperme	emreps	de σπείρει?, semer
spermiducte	etcudimreps	de σπέρμα, sperme, et ductus, conduit; ce mot est mal fait, il devrait être spermoducte; puis il est hybride
spermiole	eloimreps	dérivé de | σπέρμα; sperma ranarum
spermoderme	emredomreps	de σπέρμα, graine, et δέρμα, peau} (De Candolle)
spermogonie	einogomreps	de σπέρμα, graine, et γενεία, production
spermolithe	ehtilomreps	de σπέρμα, sperme, et 7ίθες, pierre
spermophore	erohpomreps	de σπέρμα, graine, et φέρε», porter
sphalérocarpe	epracorélahps	de σφαλερός, trompeur, et καρπός, fruit
sphalérotocie	eicotorélahps	de σφαλερές, trompeur, et τόκος, accouchement
sphéno-basilaire	erialisab-onéhps	de σφην, os sphénoïde, et basilaire
sphénoïde	edïonéhps	de σφην, coin, et είδος, forme, ressemblance
sphénotribe	ebirtonéhps	de σφην, sphénoïde, et τρίβει?, broyer
sphérique	euqiréhps	de σφαίρα, sphère
sphéristique	euqitsiréhps	sous-entendu, τεgpv
sphéristique	euqitsiréhps	de σφαίρα, balle
sphéroïdal	ladïoréhps	de σφαίρα, sphère, et ειίος, forme:
sphéroïde	edïoréhps	de σφαίρα, sphère, et ει^σς, forme
sphérothèque	euqèhtoréhps	de σφαίρα, globe, et θήκη, loge
sphincter	retcnihps	de σφίγγει?, lier, serrer 
sphygmique	euqimgyhps	de σφυγμός, pouls 
sphygmographe	ehpargomgyhps	de σφυγμός, pouls, et γράφει?, écrire 
sphygmologe	egolomgyhps	de σφυγμός, pouls, et λέγει?, indiquer
sphygmomantie	eitnamomgyhps	de μαντεία, divination
sphygmomètre	ertèmomgyhps	de σφυγμός, pouls, et μέτρον, mesure
sphygmoscope	epocsomgyhps	de σφυγμός, pouls, et σκοπεί?, examiner
